"Word","Age_Of_Acquisition","LgSUBTLCD","NPhon"
"pokerchips",9.535714286,2.639,8
"polarbear",5.071428571,1.949,7
"pooltable",7.649755,3.079,7
"punchingbag",7.91618,2.243,9
"puzzlepiece",4,2.396,7
"qtip",5.142857143,3.014,6
"railroadtracks",7.052963,2.468,11
"razorshell",12.07142857,2.403,7
"recyclingbin",6.357142857,1.813,11
"rockingchair",5.78478,2.209,8
"rollerblade",10.8,2.288,8
"rollerskate",6.31763,2.093,8
"rollingpin",7.59647,2.737,8
"rubikscube",8.928571429,0.301,10
"safetypin",6.53077,2.737,8
"schoolbus",3.928571429,3.189,7
"sewingmachine",5.710181,2.209,9
"shipinabottle",7.384615385,3.066,10
"skiboot",8.464285714,2.348,6
"soccerball",4.892857143,2.418,7
"spicerack",7.642857143,2.209,7
"spinningtop",4.185185185,2.464,9
"stapleremover",8.777777778,1.462,11
"steeringwheel",5.411785,2.238,10
"tablefootball",7.958333333,2.907,10
"taperecorder",8.502315,2.253,10
"teddybear",2.75,2.418,7
"tennisball",5.928571429,2.606,8
"tennisracket",7.266103,2.479,10
"toiletpaper",5.092075,2.98,9
"totempole",8.672827,1.447,8
"toyhorse",3,2.751,6
"toysoldier",4.357142857,2.751,7
"tshirt",3.964285714,3.146,5
"walkietalkie",6.071428571,0.9031,8
"washingmachine",4.804336,2.572,10
"waterbottle",4.071428571,3.194,8
"waterfountain",4.178571429,2.377,9
"wateringcan",7.223475,1.996,9
"windshieldwiper",5.25,1.362,12
"witchhat",4.214285714,2.678,6
